id,sentence,num_aspect_terms,aspect_terms,at_polarity
11359656#1716239#1,"bhut bड़aa portions, shaandaar aur attentive service, aur bhut achchhaa prices hai।",3,"['portions', 'service', 'prices']","['positive', 'positive', 'positive']"
11359797#469087#7,maim unke service aur food se bhut adhik disappointed thaa।,2,"['service', 'food']","['negative', 'negative']"
32938828#1194079#1,Food shaandaar thaa aur milkshakes jbki better hai!,2,"['Food', 'milkshakes']","['positive', 'positive']"
11349445#757796#5,"door rhem, agr aap claustrophobic haim।",0,[],[]
11349445#757796#1,Mushroom barley soup shaandaar hai।,1,['Mushroom barley soup'],['positive']
11602699#875811#0,"ek friend ke recommendation pr, maim apnii wife ke saath Arezzo mem gyaa।",0,[],[]
11313316#1234433#0,yh place bilkul unmem se ek hai jhm mem kii years mem lgaataar vaaps aayaa hoom~।,0,[],[]
11351762#644011#1,"jbki yh bड़aa aur thoड़aa noisy thaa, drinks shaandaar the, aur food kmaal kaa thaa।",2,"['drinks', 'food']","['positive', 'positive']"
35158451#1089920#3,maim impressed nhiim thaa aur yh SPICEY nhiim thaa। ,0,[],[]
33070461#1496736#1,Food lgbhg hmeshaa EXCELLENT thaa।,1,['Food'],['positive']
32882616#562969#4,maim taste ke lie pleasently surprised thaa।,1,['taste'],['positive']
32882616#562969#3,maimne phle kbhii bhii orange donut nhiim khaayaa thaa islie ek shot diyaa।,1,['orange donut'],['neutral']
35171678#484493#3,"unhone vaakii ek relaxing, laid-back atmosphere prdaan kiyaa। ",1,['atmosphere'],['positive']
32895093#418997#0,maim subway se home ke way mem is resteraunt ke paas thokr khaayaa।,0,[],[]
11546184#1465600#4,Management accommodating ke lie bhut km thaa।,1,['Management'],['negative']
13383936#420974#2,Ambience bhii bhut adhik laid-back aur relaxed thaa।,1,['Ambience'],['positive']
35692932#1064131#3,Teas shaandaar hai aur sbhii sweets homemade haim।,2,"['Teas', 'sweets']","['positive', 'positive']"
11488685#420977#1,Mojitos aur service vhm~ kaa sbse achchhaa part hai।,2,"['Mojitos', 'service']","['positive', 'positive']"
35820984#608922#0,yh restaurant bilkul beautiful hai।,0,[],[]
35820984#608922#1,Design bhut hii intimate aur romantic hai।,1,['Design'],['positive']
35820984#608922#2,Food shaandaar aur imaginative hai।,1,['Food'],['positive']
35820984#608922#3,Staff bhut sharp aur ve achchhe bhii dikhte haim। ,1,['Staff'],['positive']
36245348#821441#2,sbse worst haalmki taste thaa।,1,['taste'],['negative']
36245348#821441#3,"ve dry, stale aur thoड़aa flavorless thaa।",0,[],[]
11432442#650772#5,jo fajita hmne aaज़maayaa thaa tasteless aur burned thaa aur mole sauce bhut miithii thii ।,2,"['fajita', 'mole sauce']","['negative', 'negative']"
32944693#1193404#4,"Atmosphere grm hai, aaraamdaayk, artsy aur sexy hai।",1,['Atmosphere'],['positive']
32944693#1193404#1,"Food shaandaar (bड़e selection, shii prices) aur drinks vaakii achchhe haim।",4,"['Food', 'selection', 'prices', 'drinks']","['positive', 'positive', 'positive', 'positive']"
35693214#539116#1,Steak mere mouth mem melt ho gyaa।,1,['Steak'],['positive']
35938288#666236#2,"sbse important, yh reasonably priced thaa।",1,['priced'],['positive']
35393632#1591698#7,"kevl suggestion yh hai ki aap dessert ko skip krem, yh overpriced aur taste ke lie km thaa।",2,"['dessert', 'taste']","['negative', 'negative']"
15087705#871249#1,"Food decent, lekin shaandaar nhiim thaa।",1,['Food'],['positive']
11349871#518230#0,mujhe nhiim ptaa hai ki yh restaurant itnaa overlooked kyom hai।,0,[],[]
11349871#518230#1,"jis moment aap walk in krte haim, aapko lgtaa hai ki aap ek perfect place pr haim।",0,[],[]
11351628#404492#6,Waiters hmeshaa angry dikhaaii pड़te haim aur yhm tk ki apne high-tipping regulards ko bhii ignore kr dete haim। ,1,['Waiters'],['negative']
33069901#1437116#3,"maim kh sktaa hoom~ ki wraps, burgers aur salads sbhii fresh, tasty the saath hii $9 mem mango margareta bhii money ke lie worth thaa।",4,"['wraps', 'burgers', 'salads', 'mango margareta']","['positive', 'positive', 'positive', 'positive']"
33069901#1437116#4,yh delicious aur large thaa!,0,[],[]
35709337#1579632#6,"aur khiim bhii, prices 3x se jyaadaa high hogaa।",1,['prices'],['positive']
33069901#1437116#1,jo service hmne experience kiyaa thaa vo friendly aur achchhaa thaa।,1,['service'],['positive']
11351725#582163#9,hmaare waiters friendly the aur yh shame kii baat hai ki unke saath work ke lie supportive staff nhiim hai।,2,"['waiters', 'staff']","['positive', 'negative']"
11351725#582163#7,Folding chair jispr maim baithaa thaa uncomfortable thaa।,1,['Folding chair'],['negative']
11432842#416795#5,Midtown mem shaandaar choice hai।,0,[],[]
11432842#416795#1,ab tk jo Service maimne NYC mem paayaa usmem yh best thii।,1,['Service'],['positive']
11432842#416795#2,Fettucino alfredo shaandaar thaa।,1,['Fettucino alfredo'],['positive']
33067279#1612676#1,Food bhut hii achchhaa thaa aur maim itne saare vegan options dekhkr pleasantly surprised thaa।,2,"['Food', 'vegan options']","['positive', 'positive']"
32930165#1643018#3,maim real Indian food jntaa hoom~ aur yh itnaa hii nhiim hai।,1,['Indian food'],['negative']
32926987#668438#1,"Waiters bhut professional, corteous aur attentive the।",1,['Waiters'],['positive']
32935729#785247#5,Falafal shaayd over cooked aur dried thaa lekin chicken achchhaa thaa।,2,"['Falafal', 'chicken']","['negative', 'positive']"
32935211#1468239#3,"maim grand marnier shrimp ko bhut jyaadaa reccomend krtaa hoom~, yh bhut achchhaa hai।",1,['grand marnier shrimp'],['positive']
32944704#492723#0,"hm vhm~ ge aur food ko vaakii enjoy kiyaa, bhut shaandaar food thaa, aur service vaakii mem achchhaa thaa।",3,"['food', 'food', 'service']","['positive', 'positive', 'positive']"
33061325#0#3,Desserts mem flan aur sopaipillas shaamil hai।,3,"['Desserts', 'flan', 'sopaipillas']","['neutral', 'neutral', 'neutral']"
35709141#1107179#1,"jbki, food aur service dramatically lack ho rhaa thaa।",2,"['food', 'service']","['negative', 'negative']"
35709141#1107179#2,Sushi ko blocks mem kaataa gyaa jo mere cell phone se bड़aa thaa। ,1,['Sushi'],['negative']
11350496#1560668#3,"Service shaandaar hai, meraa soup hmeshaa achchhaa aur hot aataa hai। ",2,"['Service', 'soup']","['positive', 'positive']"
11351625#909535#1,yh jbki ab tk rhii hai aur maim bhool gyaa ki crepes kitnaa delicious ho sktaa hai।,1,['crepes'],['positive']
11351620#1180095#0,maimne ek svaadisht shrimp creole khaayaa thaa।,1,['shrimp creole'],['positive']
11351620#1180095#1,Chicken dinner sch mem achchhaa thaa।,1,['Chicken dinner'],['positive']
32938222#1552119#1,Restaurant kaa decor contemporary Japanese style mem sjaa huaa hai।,1,['decor'],['neutral']
11351620#1180095#3,lekin food svaadisht thaa।,1,['food'],['positive']
32464595#574909#2,"Ribs ko, sizzling beef aur bhut se coconut rice ke saath couple krke aaज़maaem~।",3,"['coconut rice', 'Ribs', 'beef']","['positive', 'positive', 'positive']"
32893510#483382#3,yh kevl aisaa drawback hai jo thoड़aa pricey hai।,0,[],[]
32893510#483382#0,is place ke baare mem sbkuchh wonderful hai।,0,[],[]
32893040#1716582#5,Avocado salad ek personal fave hai।,1,['Avocado salad'],['positive']
32893040#1716582#6,"aur, honey BBQ rib tips svaadisht haim।",1,['honey BBQ rib tips'],['positive']
32893040#1716582#0,sbse achchhaa Chinese food Uptown hai।,1,['Chinese food'],['positive']
32464601#418474#1,"Atmosphere attractive, lekin little uncomfortable hai।",1,['Atmosphere'],['conflict']
32464601#418474#2,yh staff bhut friendly hai।,1,['staff'],['positive']
33068517#482841#2,kmaal kaa wine list aur shaandaar cocktail menu hai।,2,"['wine list', 'cocktail menu']","['positive', 'positive']"
33068517#482841#1,Crab cakes svaadisht hai aur BBQ rib bilkul shii thaa।,2,"['Crab cakes', 'BBQ rib']","['positive', 'positive']"
32864873#471207#1,bhut fast service ke saath chhotaa restaurant hai।,1,['service'],['positive']
33069536#707145#3,mere husband aur maim kriib 6 times yhm~ aa chuke haim aur hmem hmeshaa yhm~ highest service aur free desserts milaa hai।,2,"['service', 'desserts']","['positive', 'positive']"
32899414#512291#0,"ek sumdr atmosphere, drinks aur/yaa appetizers ke lie bhut shii hai।",3,"['atmosphere', 'drinks', 'appetizers']","['positive', 'neutral', 'neutral']"
32469157#1273114#0,yhm~ Curioni's Pizza lgbhg 1920 se chlaa aa rhaa hai।,0,[],[]
32469157#1273114#1,ve New Jersey mem best pizza bnaate haim।,1,['pizza'],['positive']
36072604#1106889#1,maim haal ke pichhle summer ke baad ek year ke lie gyaa thaa।,0,[],[]
12036269#580745#2,oopr ke poore restaurant mem kevl ek waiter hai।,1,['waiter'],['neutral']
33064238#563983#2,maim garlic knots ko bhii recommend krtaa hoom~।,1,['garlic knots'],['positive']
32971013#1044651#0,ab tk kaa best Indian food jo maimne khaayaa hai।,1,['Indian food'],['positive']
11351521#768768#3,aap dissapointed nhiim homge।,0,[],[]
33064238#563983#0,is place kaa pizza sbse achchhaa hai।,1,['pizza'],['positive']
35816071#637243#0,Culinaria Garment district kaa welcome addition hai- area mem kisii bhii restaurant se bhut achchhaa hai।,0,[],[]
32896473#439063#3,Music jo sometime mere taste ke lie bhii thoड़aa heavy hai।,1,['Music'],['negative']
11350010#590580#1,Service shaandaar hai aur binaa air ke informative bhii hai।,1,['Service'],['positive']
11359762#927332#1,Owner aur staff ek bड़e lengths ke lie aapko comfortable feel kraane jaate haim।,2,"['Owner', 'staff']","['positive', 'positive']"
32950061#1264345#1,Sushi hmeshaa fresh aur yummy aur menu bhut vary krtaa hai।,2,"['Sushi', 'menu']","['positive', 'positive']"
11359767#969393#2,"Food shaandaar thaa - sushi achchhaa thaa, lekin cooked food ne hmem aashchrychkit kiyaa।",3,"['Food', 'sushi', 'cooked food']","['positive', 'positive', 'positive']"
33106326#864352#0,unke dinner specials shaandaar hote haim।,1,['dinner specials'],['positive']
32405935#675215#0,"shaandaar food, shaandaar drinks, achchhaa dining atmosphere.",3,"['food', 'drinks', 'dining atmosphere']","['positive', 'positive', 'positive']"
32894669#1075584#1,Food portion chhotaa thaa aur average se niiche thaa।,1,['Food portion'],['negative']
33085669#409731#11,piichhe un comfortable chairs mem se ek mem baithie।,1,['chairs'],['positive']
33070461#1496736#6,meraa yhm~ kaa favs Tacos Pastor aur  Tostada de Tinga hai।,2,"['Tacos Pastor', 'Tostada de Tinga']","['positive', 'positive']"
35693136#561234#0,"is bar mem bs yhii hai - great drinks, cool atmosphere, shaandaar service aur delicious food.",4,"['drinks', 'atmosphere', 'service', 'food']","['positive', 'positive', 'positive', 'positive']"
32893510#483382#1,hmne lamb order kiyaa jo poorii trh cooked aur awesome tasted thaa।,1,['lamb'],['positive']
11351664#1238806#6,achchhaa food achchhaa wine bs itnaa hii। ,2,"['food', 'wine']","['positive', 'positive']"
33070305#1312437#4,Staff bhut hii friendly aur khushnumaa thaa।,1,['Staff'],['positive']
11349840#433070#0,"yh place Italian hai, French nhiim।",0,[],[]
11478791#397331#1,"jbki unkaa kitchen food delicious hai, unkaa Sushi is smsaar mem alg hai।",2,"['kitchen food', 'Sushi']","['positive', 'positive']"
11351664#1238806#1,"yh traditional, saadhaarण italian food hai।",1,['italian food'],['positive']
35693081#540596#2,Sashimi  thoड़aa ptlaa ktaa hai। ,1,['Sashimi'],['negative']
11651062#1264882#6,maim personally khtaa hoom~ apnaa money save kiijiye।,0,[],[]
"blki, yh huaa hai kyomki ek graceless manager aur ek rude bartender jo drinks ke lie 20 minutes waiting kraayaa, aur phir hmem chill out krne ko khaa।","blki, yh huaa hai kyomki ek graceless manager aur ek rude bartender jo drinks ke lie 20 minutes wait kraayaa, aur phir hmem chill out krne ko khaa।",4,"['manager', 'bartender', 'drinks', 'waiting']","['negative', 'negative', 'neutral', 'negative']"
32892130#435512#1,"kevl service hii great nhiim hai, blki tables ke chaaro or conversation bnaanaa bhut easy hai kyomki atmosphere donom trph romantic aur comfortable ho sktaa hai।",2,"['service', 'atmosphere']","['positive', 'positive']"
11359797#469087#5,"jb dish aayaa yh green chillis ke saath jl rhaa thaa, jo bilkul human ke lie edible nhiim thaa।",2,"['green chillis', 'dish']","['negative', 'negative']"
33061445#591371#1,yh lunch ke lie $7 hai aur unhone take-out yaa dine-in kiyaa hai।,3,"['lunch', 'take-out', 'dine-in']","['neutral', 'neutral', 'neutral']"
11359762#927332#2,kul milaakr yh New York kaa BEST past hai। ,0,[],[]
35698240#574381#0,hm yhm~ afternoon kaa performance dekhte hue phle bhii several times khaa chuke haim,0,[],[]
32934709#796678#1,sbkuchh bhut cheap hai।,0,[],[]
32894963#1707639#1,Food shaandaar hai aur prices reasonable hai।,2,"['Food', 'prices']","['positive', 'positive']"
32894963#1707639#3,"Place saaph hai, aur ydi aapko soul food psmd hai, to yhii vh place hai।",2,"['Place', 'soul food']","['positive', 'positive']"
11350269#481079#1,yh city mem meraa Fav sports hai।,0,[],[]
11351819#985076#4,"Over priced, overrated.... door rho!",0,[],[]
11351819#985076#0,aap is restaurant mem mt jaao।,0,[],[]
32894267#698671#2,"jb se hm neighborhood mem the, hmne ise sure aaज़maane kaa try kiyaa thaa।",0,[],[]
11565268#560107#2,kul milkr kh sktaa hoom~ ki ve fantastic haim।,0,[],[]
33066089#490193#0,maim dine mem kii times Mammino khaa chukaa hooomgaa aur hr baar yh better hotaa jaayegaa।,0,[],[]
33066089#490193#4,Definitely kuchh check out krne ko hai।,0,[],[]
11639814#570590#2,Service shaandaar thaa।,1,['Service'],['positive']
11432842#416795#0,maim restaurant week ke lie gyaa।,0,[],[]
11350141#1745557#0,meraa friend aur maim Kips Bay movie theater jaane se phle yhm~ pizza ke lie ruke।,1,['pizza'],['neutral']
11350141#1745557#1,hm hmeshaa pizza enjoy krte haim।,1,['pizza'],['positive']
11350141#1745557#4,Service thoड़aa achchhaa hai।,1,['Service'],['positive']
32944693#1193404#0,yh place kuchh years ke lie hai।,0,[],[]
11432442#650772#0,"Yum, chicken yhm~ shaandaar hai।",1,['chicken'],['positive']
36244423#1058258#3,maim is restaurant ko highly recommend krtaa hoom~!!,0,[],[]
11538980#453602#0,yh place bhut worst thaa।,0,[],[]
32891589#573560#0,maimne yhm~ se last week order kiyaa thaa।,0,[],[]
32938222#1552119#0,yh Brooklyn mem ek achchhaa sushi restaurant hai jo 86 street pr train station ke thiik niiche located hai।,0,[],[]
32406302#615620#1,"yhm~ food bhut shaandaar thaa, ek treat beginning se end tk thaa।",1,['food'],['positive']
32938222#1552119#0,yh Brooklyn mem ek achchhaa sushi restaurant hai jo 86 street pr train station ke thiik niiche located hai।,0,[],[]
32406302#615620#1,"yhm~ food bhut shaandaar thaa, ek treat beginning se end tk thaa।",1,['food'],['positive']
11484031#1129679#1,Host (owner) aur servers apno jaisaa aur dhyaan rkhne vaalaa hai।,2,"['Host (owner)', 'servers']","['positive', 'positive']"
32882616#562969#0,maim bhut se magazines mem iske baare mem sunne ke baad try out krne kaa decide kiyaa।,0,[],[]
11351561#744321#0,"yh sbkuchh bilkul hai... food, atmosphere...kmaal kii kind aur gracious hostess hai।",3,"['food', 'atmosphere', 'hostess']","['positive', 'positive', 'positive']"
33070461#1496736#7,Moved krke maimne sch mem place ko bhut miss kiyaa।,0,[],[]
33068635#1533725#2,Food bhut achchhaa aur service shaandaar hai।,2,"['Food', 'service']","['positive', 'positive']"
33068635#1533725#2,Food bhut achchhaa aur service shaandaar hai।,2,"['Food', 'service']","['positive', 'positive']"
11313316#1234433#1,maim hmeshaa ek Vietnamese Beef Noodle Soup letaa hoom~।,1,['Vietnamese Beef Noodle Soup'],['neutral']
33069536#707145#1,Waiters bhut hii friendly aur helpful hai aur ydi aap frequent aate haim ve aapko yaad kremge।,1,['Waiters'],['positive']
35693081#540596#0,Intimate lekin bilkul friendly service ke saath attentive service aur charming interior hai।,2,"['interior', 'service']","['positive', 'positive']"
35393632#1591698#4,Food utnaa hii creative thaa jitnaa ki decor aur donom kaam krtaa thaa।,2,"['Food', 'decor']","['positive', 'positive']"
11350539#680470#1,meraa khud kaa favorite Nick aur Joe's hai।,0,[],[]
11350539#680470#3,Sauce zesty aur flavorful aur crust achchhaa aur crispy hai।,2,"['Sauce', 'crust']","['positive', 'positive']"
33059931#926509#0,is place mem is city kaa best sushi hai।,1,['sushi'],['positive']
33059931#926509#1,unkaa selection kmaal kaa hai (rolls with crab vaakii shaandaar hai) ,2,"['selection', 'rolls with crab']","['positive', 'positive']"
11349871#518230#2,"hr koii jo vhm~ kaam krtaa hai (host, bartender, servers) bhut helpful hai।",3,"['host', 'bartender', 'servers']","['positive', 'positive', 'positive']"
11349871#518230#3,aur food fantastic hai।,1,['food'],['positive']
11349871#518230#4,Favourites include: potato spinach gnocchi and the lamb.,2,"['potato spinach gnocchi', 'lamb']","['positive', 'positive']"
32935583#854234#2,Glechik ke baare mem doosrii achchhii chiij- sbkuchh cheap hai!,0,[],[]
35084984#412657#1,mere friend ne burger khaayaa hai aur maimne ye shaandaar blueberry pancakes pancakes khaayaa hai।,2,"['burger', 'blueberry pancakes']","['neutral', 'positive']"
35084984#412657#2,hm apne food se bhut khush the aur jbki jyaadaa thrilled tb hue jb hmne bill dekhaa।,2,"['food', 'bill']","['positive', 'positive']"
35084984#412657#3,maim is restaurant mem definitely vaaps jaaoomgaa।,0,[],[]
15087705#871249#5,Place bilkul bhii prime time ke lie ready nhiim haim।,0,[],[]
35700989#574718#1,"Waitstaff solicitous aur friendly aur hmeshaa hmem dekhne mem achchhaa lgtaa hai, aur food shaandaar, lekin stunningly creative nhiim hai।",2,"['Waitstaff', 'food']","['positive', 'positive']"
35700989#574718#2,mujhe lobster ravioli bhut psmd hai।,1,['lobster ravioli'],['positive']
11661949#1709112#3,hmem nhiim ptaa ki hmem drink order krnaa chaahie yaa jaanaa chaahie।,1,['drink'],['neutral']
32894791#1611374#2,Neighbhorhood kaa spot shaandaar hai।,0,[],[]
34109476#402765#0,Bobb V's apne Friends aur Family ko le jaane ke lie ek shaandaar place hai।,0,[],[]
33059678#631861#2,"Crowd puraanaa thaa aur restaurant bhut cramped hai, lekin iskaa charm old school jaisaa hai।",0,[],[]
32894966#1727613#1,yh is place kaa aslii gem hai।,0,[],[]
32894966#1727613#9,mere hisaab se yh wonderful place hai।,0,[],[]
11558693#1436895#1,Place pr first walking krte hue ambience shaandaar lgtaa hai।,2,"['Place', 'ambience']","['positive', 'positive']"
35700731#1595671#0,maim is weekend Kitchenette brunch ke lie gyaa।,1,['brunch'],['neutral']
32894963#1707639#0,"is place kaa publicity nhiim kiyaa jaataa hai jaise ki Sylvias Soul Food restaurant krtaa hai, lekin krnaa chaahie।",0,[],[]
14336883#1094817#7,kyomki P Diddy ne Butter mem party kiyaa thaa iskaa ye mtlb nhiim hai ki hmem automatically impressed ho jaanaa chaahie।,0,[],[]
35819603#1613701#3,"jbki do ke lie vhm~ bhut hungry people the, bhut se food home le jaane ko bche hue the (jise bhut achchhaa reheats kiyaa gyaa hai)।",1,['food'],['positive']
11350539#680470#8,"jaisaa ki maimne khaa, Nick aur Joe's sbke favorite nhiim ho skte haim, lekin yh mere haim।",0,[],[]
35393632#1591698#6,Help bhut hii achchhaa thaa aur hmem rush nhiim kraayaa।,0,[],[]
35714274#1076679#4,tb unhone kisii trh chaarom or raw aur cold mem dry aur brunt crust bnaayaa।,1,['crust'],['negative']
11351664#1238806#4,"yh bs achchhaa food hai, kuchh jyaadaa nhiim aur vhii hmem chaahie।",1,['food'],['positive']
33068517#482841#0,merii wife aur maim haal hii mem bistro mem dinner ke lie visit kiyaa aur ek shaandaar experience huaa।,1,['dinner'],['neutral']
11351400#495795#1,SERVICE bhii bhut PERFECT hai is ITALIAN/FRENCH RESTAURANT mem kuchh glt nhiim hai।,1,['SERVICE'],['positive']
11313431#524365#0,mere fiance aur maim haal mem city dekhnaa chaahte the aur aur ek dinner cruise bhii decide kie the।,0,[],[]
11546184#1465600#1,$72 Delmonico steak vaaps bhejnaa thaa kyomki yh order ke lie nhiim pkaayaa gyaa thaa।,1,['Delmonico steak'],['negative']
11482070#503858#1,"hr baar maim vhm~ gyaa, maim khaane ke lie kuchh nhiim uthaa sktaa thaa kyomki menu bhut se great things se bhraa huaa hai।",1,['menu'],['negative']
11349922#547169#3,Rice ke mountain ke saath half chicken aur $6.25 mem beans.,3,"['Rice', 'beans', 'chicken']","['neutral', 'neutral', 'neutral']"
32894483#1088884#0,"Service vaakii fast aur friendly, aur value shaandaar hai।",2,"['Service', 'value']","['positive', 'positive']"
32944674#542988#0,hm food aur value se bhut impressed the।,2,"['food', 'value']","['positive', 'positive']"
32944674#542988#2,aapko garlic soup avshy try krnaa chaahie।,1,['garlic soup'],['positive']
32896492#738746#0,"Casablanca servces svaadisht falafel, tabouleh, humus aur any Mediterranean delights, jo sbhii bhut inexpensive hai।",4,"['falafel', 'tabouleh', 'humus', 'Mediterranean delights']","['positive', 'positive', 'positive', 'positive']"
11313290#1139539#0,"Bardolino ke kuchh bad evenings ke baad, maim vaaps aataa rhaa।",0,[],[]
33069847#1306433#1,"Pizza's fresh, crispy, aur serve ke lie taiyaar bnaae ge haim।",1,['Pizza's'],['positive']
32893609#708406#3,"Midtown area mem bhut se french bistros haim, aur maim ise wholheartedly recommend krtaa hoom~।",0,[],[]
35709451#1061726#1,Staff accomodating hai ty krem ki aap satisfied haim।,1,['Staff'],['positive']
11359727#487554#4,Chef Waldy's hmeshaa measures up kie ge haim।,1,['Chef'],['positive']
35709337#1579632#5,yh diamond ruff mem 10 minute ke lie 6 train ke walk ke lie bilkul worth hai।,0,[],[]
35708055#673129#4,Host aur Hostess bhut rude the।,2,"['Host', 'Hostess']","['negative', 'negative']"
35708055#673129#7,aap kuchh bhii miss nhiim kr rhe homge।,0,[],[]
32878835#503761#0,maimne Applebees ko khojaa jb maim VA ke collage mem chlaa gyaa।,0,[],[]
11351453#683961#0,"Wait staff bhut friendly haim, ydi aap rude yaa picky nhiim haim.......Leon mem last weekend pr hmaaraa meal shaandaar thaa।",2,"['Wait staff', 'meal']","['positive', 'positive']"
11351453#683961#1,maimne unke kisii bhii salmon dishes ko recommend kiyaa।,1,['salmon dishes'],['positive']
11351451#805713#1,Foie gras miithaa aur chipchipaa thaa।,1,['Foie gras'],['positive']
11351324#0#2,"Menu, jo seasonally bdltaa hai,  regional aur international donom prbhaav dikhaataa hai।",1,['Menu'],['neutral']
15069510#648179#3,"Food average hai: breakfast food, soups, salads, sandwiches, aadi।",5,"['Food', 'breakfast food', 'soups', 'salads', 'sandwiches']","['neutral', 'neutral', 'neutral', 'neutral', 'neutral']"
11519527#1541586#1,maim FOOD se bhut hii adhik DISAPPOINTED thaa।,1,['FOOD'],['negative']
35759841#1360876#1,"Staff arrogant hai, Brooklyn ke lie prices bhut hii jyaadaa high hai।",2,"['Staff', 'prices']","['negative', 'negative']"
35759841#1360876#0,Place average...sbse achchhaa hai।,0,[],[]
