id,sentence,#aspect terms,aspect_term,at_polarity
488:1,Strong build jiske maadhym se vaastv mem iskii durability add ho rhii hai।,2,"['durability', 'build']","['positive', 'positive']"
847:1,6-7 hours binaa chaarj kie battery life excellent hai।,1,['battery life'],['positive']
641:1,maim Apple ke product lenaa enjoy krtaa hoom।,0,[],[]
561:1,maimne apnaa computer 2 weeks phle hii le liyaa hai aur yh perfectly work krtaa hai।,1,['work'],['positive']
357:1,maim phir kbhii PC pr vaaps nhiim jaaoomgaa!,0,[],[]
1062:1,aur maim kevl ek hii ho sktaa hoom lekin maim really mem Windows 8 ko like kr rhaa hoom।,1,['Windows 8'],['positive']
792:2,Battery bhut lmbii hai।,1,['Battery'],['positive']
81:1,aur yh bhut quiet hai maim ise bilkul nhiim sun paataa hoom।,0,[],[]
809:1,iskaa size ideal hai aur weight acceptable hai।,2,"['size', 'weight']","['positive', 'positive']"
794:47:00,"mujhe ptaa hai ki Apple pcs kii tulnaa mem adhik expensive haim, lekin vh sochtaa hai ki yh hr penny ke laayk hai।",0,[],[]
144:1,"mere lie yh workhorse hai, aur quiet jitnaa ho sktaa hai, aap Uncle Sam ko koii jyaadaa dishing out kie binaa bhii big bugs save kr skte haim, jrur buy krem।",0,[],[]
495:1,"maim kh sktaa hoom ki computer ne jo performance supply kiyaa hai, maim usse poorii trh satisfy hoom।",1,['performance'],['positive']
393:1,"maim poorii trh sure hoom ki jb maimne ise buy kiyaa thaa, to meraa bank account khtm ho gyaa thaa ouch!",0,[],[]
127:1,Great item ke lie aapkaa bhut dhnyvaad ,0,[],[]
910:1,"is laptop mem kevl 2 USB ports haim, aur ve both ek hii side haim।",1,['USB ports'],['negative']
1047:1,yh bhut annoying hai aur maim kbhii bhii koii Acer products buy nhiim krumgaa।,0,[],[]
470:1,yhii kaarण hai ki maimne first place mem ek BRAND NEW LAPTOP purchase kiyaa  taaki koii problem n ho।,0,[],[]
499:1,iskii speed bhut jyaadaa adhik hai aur screen bhut sharp hai।,2,"['speed', 'screen']","['positive', 'positive']"
457:1,"Laptop ke roop mem, yh pichhle 2 years mem hmaaraa 3rd Apple computer hai।",0,[],[]
636:1,sb kuchh jo maim chaahtaa thaa aur jiskii mujhe need thii aur price great thii!,1,['price'],['positive']
48:1,"yh inexpensive nhiim hai, lekin Hardware performance is chhote se computer ke lie impressive hai।",1,['Hardware performance'],['positive']
992:1,yh mere old acer laptop se behtr hai ,0,[],[]
57:1,"yh thing awesome hai, sb kuchh hmeshaa work krtaa hai, sb kuchh hmeshaa set up krne mem easy hai, sb kuchh compatible hotaa hai, yh shaabdik roop se sbkuchh hai jo maim mmg sktaa thaa।",2,"['work', 'set up']","['positive', 'positive']"
38:28:00,maim phir se ise chutkiyom mem buy kr lumgaa।,0,[],[]
387:7,Press krne pr keyboard achchhe se respond krtaa hai।,1,['keyboard'],['positive']
211:0,agr koii mujhe Apple Fanboy bulaataa hai ... to iskaa koii sense hogaa।,0,[],[]
1065:46:00,"mt mem, Windows 8 annoying hai।",1,['Windows 8'],['negative']
801:38:00,"$ 1,500 MacBook pr ek scratch unforgivable hai।",0,[],[]
116:1,maim bs is thing ko psmd krtaa hoom।,0,[],[]
Speed se lekr multi touch gestures tk yh operating system Windows ko easily beat krtaa hai।,Setup yaa configure krne ke lie sb kuchh bhut easy aur intuitive hai।,2,"['Setup', 'configure']","['positive', 'positive']"
332:4,"mujhe abhii tk apne mac se koii problem nhiim hai, aur hope hai ki yh usii trh rhegaa।",0,[],[]
807:49:00,yh laptop ek bdh़iyaa khriid hai।,0,[],[]
1107:1,sbse bd़ii complaint Windows 8 hai।,1,['Windows 8'],['negative']
298:29:00,kevl 2 usb ports limited trh kaa lhtaa hai।,1,['usb ports'],['negative']
250:1,haalaaki yh dekhne mem jldbaajii hai ki kyaa yh vaastv mem problem ko fix krtaa hai yaa nhiim।,0,[],[]
789:25:00,is device ne mere  expectations ko pooraa kiyaa hai aur maim sure hoom ki yh aapkii bhii kregaa।,0,[],[]
1061:1,ismem saare expected features aur bhut kuchh hai plus wide screen aur roomy keyboard se jyaadaa hai। ,3,"['features', 'screen', 'keyboard']","['positive', 'positive', 'positive']"
797:41:00,"jo maimne own kiyaa hai un sbhii laptops mem se, yh ab tk kaa best hai!",0,[],[]
128:1,mere dvaaraa daalii gii kisii bhii chiij ke lie Performance Amazing hai।,1,['Performance'],['positive']
734:1,"maim ab ek PC pr vaaps nhiim jaa sktaa, yh machine kbhii bhii freeze nhiim hotii hai yaa koii problem nhiim hai।",0,[],[]
1012:1,Box ke baahr maimne notice kiyaa ki yh kitnaa small thaa aur vaastv mem vhii thaa jiskii maim tlaas kr rhaa thaa।,0,[],[]
655:1,Receiver quality aur performance ke lie superlatives se bhraa thaa।,2,"['quality', 'performance']","['positive', 'positive']"
301:1,maim khud OS se extremely happy thaa।,1,['OS'],['positive']
960:1,maim ek regular laptop aur tablet ke biich kaa kuchh dhoomdh rhaa thaa aur yh vhii hai।,0,[],[]
448:3,New MBP great portability offer krtaa hai aur hmem confidence detaa hai ki hmem 18 months mem ek new laptop purchase krne kii need nhiim hai।,1,['portability'],['positive']
1158:1,Great purchase aur maim nishchit roop se Black Friday deals ko miss nhiim krtaa thaa।,0,[],[]
794:24:00,"Criticism km ho gii hai, aur ab maim phlaa hougaa jisne shii maayne mem portable computing ke lie ek Air recommend kiyaa।",1,['portable computing'],['positive']
1141:1,maimne ise 5 stars die homge yh is fact ke lie nhiim thaa ki ismem Windows 8 thaa,1,['Windows 8'],['negative']
795:15:00,"MS Office 2011 for Mac shaandaar hai, iske laayk hai।",1,['MS Office 2011 for Mac'],['positive']
42:29:00,"ek month se adhik time tk iskaa use krne ke baad, ek issue surface pr aanaa start ho gyaa।",0,[],[]
106:1,lekin Mac Mini kaa performance ek huge disappointment vaalaa hai।,1,['performance'],['negative']
782:1,kisii bhii chiij ko lekr koii problem nhiim huii hai।,0,[],[]
589:1,maim Apple se believe krtaa hoom - aapko vh miltaa hai jiske lie aap pay krte haim।,0,[],[]
294:1,unkaa sirph look achchhaa nhiim hai; ve excellent performance deliver krte haim।,2,"['look', 'performance']","['positive', 'positive']"
553:1,maimne ise ek year se adhik smy tk  binaa kisii Glitch rkhaa hai। mujhe lit up keys aur screen display psmd hai। jitnaa ho sktaa hai yh chiij Fast aur clear hai।,2,"['lit up keys', 'screen display']","['positive', 'positive']"
804:1,Product sbhii ke lie perfect hai।,0,[],[]
315:1,"ydi aap Microsoft Windows se familiar haim, to Mountain Lion OS ko figure out krnaa hard nhiim hai।",2,"['Mountain Lion OS', 'Microsoft Windows']","['positive', 'neutral']"
17:4,"haalmki, maim refute kr sktaa hoom ki OSX ""FAST"" hai।",1,['OSX'],['negative']
631:1,maimne yh sure hone ke lie review krne kaa wait kiyaa ki yh kyaa hai।,0,[],[]
796:35:00,Microsoft Office kaa istemaal krke enjoy kr rhaa hoom।,1,['Microsoft Office'],['positive']
764:1,maim kisii ko bhii is product ko suggest krumgaa। ,0,[],[]
452:1,"binaa kisii problem ke, maim is purchase se happy hoom kyomki maimne ise khiim aur se buy krne kii tulnaa mem money save kie haim।",0,[],[]
412:1,Graphics bhut bdh़iyaa hai aur colors brilliant hai।,2,"['Graphics', 'colors']","['positive', 'positive']"
60:1,mujhe Apple se kuchh affordable chaahie thaa aur PC laptop ke baad PC laptop se deal kr ke tired ho chukaa thaa।,0,[],[]
317:1,bs thod़ii face kiyaa aur mac buy kiyaa hope kr rhaa hoom ki yh bhut lmbe smy tk chlegaa।,0,[],[]
747:5,Built-in apps poorii trh se amazing hai।,1,['Built-in apps'],['positive']
395:3,Cons: Screen resolution.,1,['Screen resolution'],['negative']
469:1,Speed se lekr multi touch gestures tk yh operating system Windows ko easily beat krtaa hai।,4,"['operating system', 'Windows', 'Speed', 'multi touch gestures']","['positive', 'negative', 'positive', 'positive']"
1028:1,mujhe vaastv mem size psmd hai aur maim ACERS kaa fan hoom।,1,['size'],['positive']
660:1,"yh ab tk kaa best, sbse reliable computer hai jo mujhe mil sktaa hai।",0,[],[]
286:15:00,"maimne SquareTrade 3-Year Computer Accidental Protection Warranty ($ 1500-2000) ko chunaa, jo ki drops aur spills kii trh ""accidents"" kaa bhii support krte haim jo AppleCare dvaaraa cover nhiim kie jaate haim।",2,"['SquareTrade 3-Year Computer Accidental Protection Warranty', 'AppleCare']","['positive', 'negative']"
1002:1,yh light hai aur transport krne mem easy hai।,1,['transport'],['positive']
1118:1,jb aap ek baar past learnig kr lete haim ki khraab triike se design kie ge Windows 8 Set-Up kaa use kaise krem to aap frustrate feel kr skte haim।,1,['Windows 8 Set-Up'],['negative']
[],vishesh roop se money ke lie bhut powerful hai।,0,[],[]
563:1,"jb mere Dell laptop ne kevl 2 1/2 years baad give up kr diyaa, to maimne MacBook Pro buy krne kaa decide kiyaa।",0,[],[]
417:1,"yh ek new laptop kaa time hai, aur ekmaatr debate thii ki Mac laptops kaa kaun saa size ho yaa retina display ke lie jaaem।",2,"['size', 'retina display']","['neutral', 'neutral']"
929:1,yh Apple se new MacBook Pro lene kii tulnaa mem kaaphii adhik affordable thaa।,0,[],[]
375:0,maim hmeshaa ek MacBook Pro chaahtaa thaa ..... hmeshaa!,0,[],[]
727:1,kyom maim apple MacBook choose krtaa hoom reason unkaa design aur aluminum casing hai।,2,"['design', 'aluminum casing']","['positive', 'positive']"
747:8,Aluminum body nishchit taur pr ise alg krtii hai। ,1,['Aluminum body'],['positive']
799:53:00,"kul milaakr ye amazing product hai, 5 stars!",0,[],[]
37:1,"Bluetooth devices integrate krnaa bhut easy hotaa hai, aur USB devices ko lgbhg turmt recognize kr letaa hai।",2,"['Bluetooth devices integrate', 'USB devices']","['positive', 'positive']"
741:1,vh apne new laptop se thrilled hai।,0,[],[]
532:1,Amazing product hai jaisaa ki aap Apple se expect kremge।,0,[],[]
757:1,is computer mem kuchh bhii wrong nhiim hai!,0,[],[]
891:8,"aur fact yh hai ki Apple Intel4000 graphic chip ke saath 13"" RMBP drive kr rhaa hai, mere lie unpowered smjh mem aa rhaa hai।",1,['Intel4000 graphic chip'],['negative']
786:42:00,mujhe aashchry hai ki Amazon is dinosaur ko kyom sell kr rhaa hai।,0,[],[]
19:1,Apple ne DVD drive Firewire port (adapter ke saath work kregaa) ko htaa diyaa aur SDXC slot ko back pr ek silly position pr rkh diyaa।,3,"['DVD drive Firewire port', 'adapter', 'SDXC slot']","['neutral', 'neutral', 'negative']"
907:1,koii hassle aur koii complaints nhiim।,0,[],[]
786:1,"yh psmd hai maim hmeshaa ek apple fan boy rhaa hoom, lekin kbhii bhii mac buy krne ke lie money nhiim thaa, kevl ipads aur iphones, aur yh meraa phlaa mac hai, jisne mujhe poorii trh se khush kr diyaa।",0,[],[]
363:27:00,Laptop kii durability ise money ke laayk bnaaegii।,1,['durability'],['positive']
422:1,achchhe se designed kiyaa gyaa hai aur fast hai।,1,['designed'],['positive']
792:54:00,aur ab maim ek  MacBook owner bhii hoom~!,0,[],[]
295:1,"lekin maim completely wrong thaa, yh computer UNBELIEVABLE aur use krne mem easy hai।",1,['use'],['positive']
1119:1,Exactly jaisaa post kiyaa gyaa thaa plus value bhii great hai।,1,['value'],['positive']
30:21:00,Specs bhii kaaphii good thaa।,1,['Specs'],['positive']
1045:1,"meraa ek friend hai jo iskii tlaas kr rhaa hai, lekin shaayd ise return kr doomgaa।",0,[],[]
682:1,bilkul bhii koii scratches yaa dents yaa koii marks nhiim the।,0,[],[]
148:1,"mere paas kevl one day rhaa, lekin maim vaastv mem ise psmd krtaa hoom aur maim happy hoom ki yh economical thaa aur maim mt mem ek Mac own krne mem able rhaa।",0,[],[]
652:1,"choomki maimne hmeshaa Apple products kaa use kiyaa hai, islie Macbook Pro kaa choice obvious thaa।",0,[],[]
211:1,"Apple product quality, aesthetics, craftmanship, aur customer service  mem bejod़ hai।",4,"['product quality', 'aesthetics', 'craftmanship', 'customer service']","['positive', 'positive', 'positive', 'positive']"
888:1,yh meraa first apple laptop hai।,0,[],[]
1078:1,yh ek bdh़iyaa gift bnaataa hai।,0,[],[]
1159:1,iskaa size bdh़iyaa hai aur amazing windows 8 include hai।,2,"['size', 'windows 8']","['positive', 'positive']"
661:1,maim kisii ko bhii jo tlaas kr rhaa hai first class computer recommend krumgaa।,0,[],[]
1150:1,mujhe Windows 8 bhut jyaadaa psmd nhiim hai।,1,['Windows 8'],['negative']
791:32:00,Startup times incredibly long hai: two minutes se adhik।,1,['Startup times'],['negative']
369:0,maim apne old Macbook Air ko replace krne ke lie ek year phle Best Buy se Macbook Pro buy kiyaa।,0,[],[]
897:1,Macbook pro vaastv mem responsive hai।,0,[],[]
743:1,Colors stunning aur speedy hai।,1,['Colors'],['positive']
803:1,haalmki yh vaastv mem expensive hai।,0,[],[]
681:1,Great price free shipping maim aur kyaa mm~g sktaa hoom~ !!,2,"['price', 'shipping']","['positive', 'positive']"
801:1,yh mouse terrific hai।,1,['mouse'],['positive']
280:12:00,maim yh bhii khoomgaa ki jo maimne expect kiyaa usse bhut better hai!,0,[],[]
333:1,yh computer vh sb kuchh krtaa hai jo mujhe school aur bhut kuchh krne ke lie chaahie।,0,[],[]
809:43:00,yh battery ke chaarom or vaastv mem thick hai।,1,['battery'],['neutral']
974:1,aur windows 7 ek charm kii trh work krtaa hai।,1,['windows 7'],['positive']
151:1,aur maim apnaa projector ismem attach kr sktaa hoom।,0,[],[]
605:1,":) bdh़iyaa product, bdh़iyaa price, bdh़iyaa delivery, aur bdh़iyaa service.",3,"['price', 'delivery', 'service']","['positive', 'positive', 'positive']"
846:1,yh bhut tejii se aayaa aur customer service bhut bdh़iyaa thii।,1,['customer service'],['positive']
983:1,Windows 8 try kiyaa aur isse nphrt ho gii !!!,1,['Windows 8'],['negative']
912:1,"vhm~ pr adhikmsh laptop se price higher hai; haalm~ki, unhomne jo pay kiyaa hai vo unhem milegaa, jo ki ek great computer hai।",1,['price'],['conflict']
449:1,"to, maimne sochaa ki kyom naa MacBook pro ko try krem।",0,[],[]
723:1,Set up ek breeze thaa।,1,['Set up'],['positive']
1122:1,lekin mujhe Win8 psmd nhiim hai।,1,['Win8'],['negative']
893:1,maimne km se km 4 se 5 laptop aur computer own kiye haim - lekin yh ab tk kii sbse superior machine hai jo maimne kbhii own kii hai।,0,[],[]
856:1,maim abhii bhii iske features ko learn krne ke process mem hoom।,1,['features'],['neutral']
789:34:00,"haalaaki, maimne old laptop ke baare mem online check kiyaa jo ki ""died"" ho gyaa  aur paayaa ki maim akelaa nhiim thaa, isse bhut door thaa।",0,[],[]
609:1,"mere paas adhikmsh PC users kii trh reasons haim: price , OSX ke overbearing restrictions aur support for games kii kmii hai।",3,"['price', 'OSX', 'support for games']","['negative', 'negative', 'negative']"
101:1,"maim ise iskii mobility aur man ke lie chaahtaa thaa, yh little bad boy bhut nice hai।",1,['mobility'],['positive']
07:23,mujhe lgtaa hai ki Apple kaa attention paane kaa yh best way hai।,0,[],[]
1126:1,ab tk bhut nice hai।,0,[],[]
668:1,aap disappoint nhiim homge।,0,[],[]
799:1,"ek new MacBook Pro kaa investment price pr aayaa thaa, lekin mind ke ek achchhe piece ke lie poorii trh se laayk thaa।",1,['price'],['conflict']
156:1,maimne find kiyaa ki mini set up krne ke lie Exceptionally easy hai,1,['set up'],['positive']
34:18:00,USB3 hote hue maimne is Mini ko kyoom buy kiyaa।,1,['USB3'],['positive']
797:22:00,jhm bhii ise rkhem sure krem ki air flow achchhaa ho।,0,[],[]
480:7,Sound nice aur loud hai; mujhe kuchh bhii hearing mem koii problem nhiim hotii hai।,1,['Sound'],['positive']
720:1,"yh bhut slim hai, maim trackpad se bhut impress hoom।",1,['trackpad'],['positive']
798:57:00,mere MacBook ( circa 2007) ke saath bhii yhii problem thii ki maim abhii retired huaa hoom।,0,[],[]
229:1,"Great things chhote ""packages"" mem aatii haim।",0,[],[]
934:0,Apple MAC kaa bhut bd़aa Fan hoom।,0,[],[]
387:1,"HP, ASUS, Acer, Sony aur doosrom kaa ek bunch dekhaa, lekin find nhiim kr skaa mujhe vaastv mem psmd aayaa।",0,[],[]
1122:5,Settings user-friendly nhiim haim।,1,['Settings'],['negative']
07:22,"iimaandaarii se khoom, maim surprised hoom ki kisii aur ne unkii returning ko mention nhiim kiyaa hai।",0,[],[]
439:1,"2 years ke baad unmem se jyaadaatr yaa to bhut big the, bhut noisy aur bhut slow the।",0,[],[]
386:1,"Used machine hai, lekin new jaisaa hai, maim bhut impress hoom।",0,[],[]
1066:00:00,OpenOffice ke lie dhnyvaad!,1,['OpenOffice'],['positive']
627:1,"Form factor bhut bdh़iyaa hai , battery life bdh़iyaa hai, UX shaandaar hai.",3,"['Form factor', 'battery life', 'UX']","['positive', 'positive', 'positive']"
302:1,khne kii j़roort nhiim hai ki usse isse pr leap krnaa amazing rhaa hai aur (financial reasons se alg) maim astound hoom ki maimne jld switch nhiim kiyaa thaa।,0,[],[]
792:1,"yh perfect hai, bhut heavy nhiim hai।",0,[],[]
876:1,mujhe keyboard aur screen bhut psmd hai।,2,"['keyboard', 'screen']","['positive', 'positive']"
1113:1,maimne find kiyaa ki yh bhut user friendly nhiim haim।,0,[],[]
536:1,isne sbhii expectations ko surpassed kiyaa aur merii sbhii needs ko fulfill kiyaa।,0,[],[]
998:1,"haalmki, touchpad ke saath MAJOR issues haim jo device ko lgbhg useless kr dete haim।",1,['touchpad'],['negative']
292:1,mujhe jo kisii bhii aur chiij se jyaadaa anger dilaatii hai vo ye hai ki maine vo saare years MACs se hate krne mem niikaal die jb maim bhut km grief ke saath bhut adhik production praapt kr sktaa thaa!,0,[],[]
104:1,maimne phle hii OS X Mavericks ko upgrade kiyaa hai aur maim is computer kii hr chiij se impress hoom।,1,['Mavericks'],['positive']
798:51:00,to yh bhut achchhaa computer hai aur maim ise highly suggest krtaa hoom।,0,[],[]
517:1,Mbp jo maimne receive kiyaa vh sb kuchh thaa jo ise honaa chaahie thaa।,0,[],[]
1049:1,maim today buy krne jaa rhaa thaa aur notice kiyaa ki yh $ 344.99 tk vaaps chlaa gyaa thaa?,0,[],[]
218:1,utnaa fast nhiim hai jitnaa maimne ek i5 se expet kiyaa thaa।,1,['i5'],['negative']
622:1,to beshk yh ek awesomeness ke maadhym se aayaa thaa!,0,[],[]
797:48:00,aapko is computer ko buy krne kaa regret nhiim hogaa!,0,[],[]
826:1,iske baare mem bad khne ke lie kuchh bhii nhiim hai ,0,[],[]
850:1,yh Macbook ke lie heavy hai lekin achchhaa hai।,0,[],[]
79:1,bdh़iyaa service aur shipping ke lie dhnyvaad।,2,"['service', 'shipping']","['positive', 'positive']"
799:05:00,Deal of the year.,0,[],[]
842:7,merii sisters ne usii laptop ko usii reason se month ke baad tod़ diyaa।,0,[],[]
35:07:00,bhut se people ke lie Minis kaa sense hai।,0,[],[]
16:1,"Performance kaaphii achchhaa lgtaa hai, aur built-in applicationsjaise ki iPhoto mere phone aur camera ke saath bdh़iyaa work krte haim।",3,"['Performance', 'built-in applications', 'iPhoto']","['positive', 'positive', 'positive']"
34:58:00,yh Mac Mini Macbook Pro ko slow bnaataa hai।,0,[],[]
895:1,maimne Samsung 830 SSD ke lie hard drive ko swap out kiyaa jise maim highly recommend krtaa hoom।,2,"['hard drive', 'Samsung 830 SSD']","['neutral', 'positive']"
836:1,"maimne apne six-year-old PC (Sony Vaio) ko replace krne ke lie MacBook Pro buy kiyaa, lekin yh mool roop se mere old PC se better nhiim thaa, islie maimne ise return kr diyaa।",0,[],[]
1087:1,"maim ek simple, reliable laptop chaahtaa thaa।",0,[],[]
846:2,yh apple pr bhii buy krne mem sstaa hai!,0,[],[]
1065:45:00,mujhe bs apne last computer kii tulnaa mem little harder typer bnnaa learn krnaa hai।,0,[],[]
335:1,jis trh se yh hai usse behd disappointe hoom।,0,[],[]
342:1,Computer kaa use krke kbhii bhii happy nhiim huaa।,0,[],[]
442:1,maimne kii alg-alg manufacturers se kul 5 alg-alg laptop lie haim।,0,[],[]
534:1,jo maim is laptop se krvaanaa chaahtaa thaa sb kuchh krtaa hai ,0,[],[]
905:2,iske alaavaa sale ke lack mem apple ke stocks mem giraavt rhii hai।,0,[],[]
1071:1,ptaa chlaa hai ki yh common problem hai।,0,[],[]
714:1,Starts up Hurry mem hai aur sb kuchh hone ke lie ready hai।,1,['Starts up'],['positive']
904:1,jitnaa ho sktaa hai yh fast bhii hai jiske lie aap pay krte haim aapko miiltaa hai investment well worth hai।,0,[],[]
252:1,lekin maim abhii bhii learn kr rhaa hoom islie ise hr chiij ke lie rate nhiim kr sktaa।,0,[],[]
795:17:00,"kul milaakr bhut impress hoom, dhnyvaad Apple aur Amazon!",0,[],[]
800:36:00,"hm, yh achchhii baat hai, lekin yh aluminum se bnaa hai jismem easily scratch lg jaataa hai।",1,['aluminum'],['negative']
1091:1,merii needs ke lie bhut fast hai।,0,[],[]
385:1,maimne apne old Dell laptop ko replace krne ke lie Mac buy kiyaa।,0,[],[]
566:1,Quick aur built in virus control mem kiyaa gyaa hai।,1,['built in virus control'],['positive']
491:1,ek long time se retina display ke saath aur iske binaa ke biich decide krne kaa try kr rhaa hoom।,1,['retina display'],['neutral']
107:1,maimne Best Buy pr Mini Mac dekhaa aur ise mere replacement ke roop mem lene kaa decide kiyaa।,0,[],[]
690:1,maimne aakhirkaar is pr decide kiyaa aur koii bhii happy nhiim ho sktaa hai।,0,[],[]
278:5,mujhe yh bhii inform kiyaa gyaa hai ki MacBook ke components dirty haim।,1,['components'],['negative']
732:1,bhut glad hoom ki maimne bar products se km pr money waste nhiim kiyaa। ,0,[],[]
798:22:00,One bit bhii regrette nhiim hai।,0,[],[]
155:1,ek chiij jo Apple shii krtaa hai vh hai computers.,0,[],[]
337:1,"Hardware problems bhut khraab haim, maim tb tk wait nhiim kr sktaa jb tk ki yh 3 years mem poorii trh se die naa jaae, TOPS!",1,['Hardware'],['negative']
857:1,yh bhut nice hai ki battery bhut der tk chltii hai aur is machine mem snow lion hai!,2,"['battery', 'snow lion']","['positive', 'positive']"
777:1,mujhe lgtaa hai ki ve market mem best haim।,0,[],[]
927:1,haalaaki maimne two days kii shipping choose kii aur ise aane mem one week se adhik smy lgaa।,1,['shipping'],['negative']
36:08:00,"yh $ 599 se kaaphii adhik hai jo yh little guy sell krtaa hai, jo mujhe mere next point pr leave kr detaa hai।",0,[],[]
419:1,yh kaaphii smooth hone ke saath-saath heavy bhii hai aur easily hands se slip ho sktaa hai।,0,[],[]
794:09:00,meraa laptop itnaa light hai ki maim ise apne saath khiim bhii le jaa sktaa hoom।,0,[],[]
679:1,"yh exactly vhii hai jo maim chaahtaa thaa, aur isme saare new features the aur kyaa nhiim thaa।",1,['features'],['positive']
476:1,aap bilkul kuchh bhii kr skte haim aur bhut fast aur stylish hai।,0,[],[]
585:1,"mt mem ek MAC try krne kaa decide kiyaa kyomki bhut saare choices the jinmem se PC buy krne ke lie the aur hr koii jiske paas MAC thaa ""ek MAC buy krne "" ko kh rhaa thaa।",0,[],[]
503:1,kyaa aap MacBook kii quality se match krne vaalaa koii bhii laptop buy kr skte haim?,1,['quality'],['positive']
1040:1,"Cheap feel hotaa hai, keyboard bhut sensitive nhiim hai।",1,['keyboard'],['negative']
842:9,jisne laptop ke saare point ko defeat kiyaa hai।,0,[],[]
982:1,"haalmki kृpyaa dhyaan dem ki kbhii-kbhii yh crash ho jaataa hai, aur sound quality superb nhiim hai।",1,['sound quality'],['negative']
748:1,Novice ke lie bhii navigate krnaa bhut easy hai।,1,['navigate'],['positive']
170:1,"lekin ab tk, koii complaints nhiim hai।",0,[],[]
1065:39:00,Cons jyaadaa annoyance hote haim jo ki rh skte haim।,0,[],[]
989:1,"kyaa sb kuchh hai jo mujhe isse chaahie, wonderful battery life aur maim happy nhiim ho sktaa thaa।",1,['battery life'],['positive']
765:1,Quality aur Performance bdh़iyaa hai।,2,"['Performance', 'Quality']","['positive', 'positive']"
1030:4,vhii hai jo mere portable aur Wallet ke lie bhii Needed hai।,0,[],[]
502:1,Device apne baare mem khud boltaa hai।,0,[],[]
462:1,"maimne extensively windows XP, windows Vista, aur Windows 7 kaa use kiyaa hai।",3,"['windows XP', 'windows Vista', 'Windows 7']","['neutral', 'neutral', 'neutral']"
914:1,"kevl ek chiij jisne mujhe is purchase ke baare mem preshaan kiyaa, vh yh hai ki unhomne mere ise turnt buy krne ke baad ek new update kie ge mbp ko seriouly release kiyaa।",0,[],[]
890:1,Bed yaa sofa pr use krne pr yh hot ho jaataa hai aur desk pr warm ho jaataa hai .... yh ek un-air conditioned room mem hai air condition mem yh thod़aa warm ho jaataa hai।,0,[],[]
124:1,maimne ek SSD drive aur memory add kiyaa।,2,"['SSD drive', 'memory']","['neutral', 'neutral']"
790:0,"mujhe yh milaa, $ 962 ke lie Offer dene ke lie dhnyvaad :)।",0,[],[]
