baiTamaina banAma suparamaina	batman vs superman
kyA Apa usa filma kI taraha haiM?	tumheM vo movie pasaMda AI ?
hA~ mujhe yaha pasaMda hai| aura sAtha hI mujhe yaha filma bhI pasaMda AI|	hA~ mujhe pasaMda AI aura maiMne isa movie ko enjoy bhI kiyA
oha, Apa isa filma ko kitanI bAra dekhate haiM	Oh kitanI bAra dekha cukI hU~ ye movie ?
maiMne isa filma ko do bAra dekhA hai|	maiM yaha movie 2 bAra dekha cukA hU~
kyA Apa isa philma ke nirdezaka kI taraha haiM?	tumheM movie kI director pasaMda AyI kyA ?
kyA Apa yahA~ se haiM?	Apa kahA~ se haiM ?
hA~ mujhe yaha philma nirdezaka pasaMda hai|	hai mujhe yaha film director pasaMda hai
hA~ hA~	hai
kyA hA~	kyA hai
kyA Apa yahA~ se haiM?	Apa kahA~ se hai
hA~ maiM yahA~ hU~	hai maiM yahA~ hU~
Apa isa philma ko kyoM pasaMda karate haiM?	kyoM yaha film pasaMda hai
hA~ mujhe yaha filma pasaMda hai	hai mujhe ye movie pasaMda hai
lekina maiM yaha filma nahIM dekha rahA hU~	lekina my yaha movie nahIM dekhA
Apane yaha kyoM nahIM dekhA? kyA Apa jAnate haiM ki yaha philma vAstava meM acchI hai	kyU~ dekha nahIM sakate ho ? tumheM patA hai yaha movie bahuta achI hai
Apa isa filma kA kauna sA caritra pasaMda karate haiM?	IS FILM meM kauna sI bhUmikA Apa ko acchA lagA
mujhe isa filma ke sabhI kiradAra pasaMda haiM	IS FILM memajhe saba bhUmikA achI lagI
oha vAstava meM	saca
yaha kitanA acchA hai	behatara
ThIka hai ThIka hai	bahuta acchA
are, kyA tumane da eveMjarsa dekhA hai? yaha eka bahuta acchI philma hai, agara tumheM raॉbarTa DAunI jUniyara pasaMda hai to tumheM ise dekhanA cAhie.	hai , kyA tumane Avengers dekhi ? The Avengers ? yaha pretty good movie hai , tumheM check karanA cAhie agara tuma Robert Downey jora , ko like karate ho .
hA~, mujhe patA hai aura maiM bhI philma pasaMda hai	yes , maiM jAnatA hU~ and me yaha movie like karatA hU~
yaha vAstava meM mahAna hai ki mArka Ruffalo brUsa bainara / da halka ke rUpa meM kiyA thA, use itanA zAMta abhI taka eka jvAlAmukhI banane ke lie taiyAra banA, kyA Apako nahIM lagatA?	yaha vAstava meM bahuta acchA hai ki maark raphphaalo ne broos bainar / da halka ke rUpa meM kyA kiyA , jisase vaha itanA zAMta ho gayA ki Apa jvAlAmukhI banAne ke lie taiyAra nahIM haiM ?
hA~, mujhe aisA lagatA hai	hAM mujhe aisA lagatA hai
maiM hamezA eka bar3A josa veDana prazaMsaka nahIM hUM, lekina unhoMne TIma kI utpatti kI kahAnI ko masAlA dene ke lie hAsya ke sAtha acchA kAma kiyA| kyA Apa Azcaryacakita the ki yaha itane sAre pAtroM ke sAtha kAma kiyA?	maiM hamezA eka bar3A Joss Whedon prashansak nahIM hU~ , lekina unhoMne teem kI mUla kahAnI ko masAlA dene ke lie hAsya ke sAtha acchA kAma kiyA . kyA Apa Azcaryacakita thI ki isane kaI pAtroM ke sAtha kAma kiyA ?
sakhtI se, yaha usakI mukhya kSamatA ho sakatI hai	sakhtI se , yA usake mukhya kSamatA ho sakatI hai
maiM kahUMgA ki raॉbarTa DAunI jUniyara bhI apanI teja jIbha aura pariSkRtatA ke sAtha yahAM apanI kSamatA se khela rahA hai| ApakA pasaMdIdA caritra kauna thA?	maiM kahUMgA ki Robert Downey jora bhI yahAM apanI kSamatA ke sAtha khela rahe haiM , apane teja jIbha aura pariSkAra ke sAtha . ApakA pasaMdIdA caritra kauna thA ?
raॉbarTa DAunI merA pasaMdIdA pasaMdIdA caritra hai	Robert Downey mere sabase pasaMdIdA pasaMdIdA caritra hai
kyA Apako lagatA hai ki vaha eveMjarsa kA eka acchA netRtva AMkar3A banAyA yA kisI aura ne Apako usa taraha se adhika khar3A kiyA?	kyA Apako lagatA hai ki unhoMne evenjars kI acchI leadership kI yA kisI aura ne Apako isa taraha se khar3A kiyA ?
nahIM, vaha sahI hai	nahIM , vaha sahI hai
ki Tesseract bhAgane ke sAtha udghATana kAphI zAMta thA, philma ke lie Tona seTa.	Tesseract se bacakara nikalanA kAphI acchA thA , films ke lie Tona set karanA .
ho sakatA hai ki yaha philma kI saphalatA kA kAraNa thA	maiM bhaI yahI film kI saphalatA kA kAraNa thA
hA~, yaha kAphI Azcaryajanaka thA jaba haॉkI philma meM itanI jaldI gulAma ho gayA.	hA~ jaba hauke movie meM itanI jaldI enslave hogayA to vaha kAphI surprising thA
yaha chavi kaipcara kauzala ko saMdarbhita karatA hai	vaha image capture skills ke bAre meM hai
kRpayA mujhe jaldI se caiTa kareM	Please mujhe chat karo fast
mujhe isa bAre meM yakIna nahIM hai, lekina nika phyUrI hamezA itanA zAMta hai. bahuta burA bure logoM ko hamezA una para eka pAne ke lie hai.	maiM usake bAre meM sUrya nahIM hU~ , but Nick Fury hamezA bahuta cool rahatA hai . aphasosa bAda guys hamezA eka kadama Age rahate haiM
yaha unakI prakRti hai aura yaha asaMbhava hai	vaha unakA nature hai aura vaha impossible hai
mujhe lagatA hai ki. mujhe Azcarya hai ki una Chitauri ke netA ke sAtha saudA kyA hai? bahuta rahasyamaya.	I guess so . Akhira citaurI ke leader kA kyA mAmalA hai . kAphI mysterious
yaha AkhirI taka eka rahasya thA	vaha bilkula last taka mystery thA
isa philma ke lie kama se kama mujhe lagatA hai. yaha kAphI dukhada thA jaba kolsana mara gayA. kyA usa dRzya ne Apako mArA?	At least is film ke lie I guess . jaba Coulson merA kAphI sad thA . kiyA usa scene meM feeling AI ?
dekhane kI eka jhalaka hai	dekhane kI eka jhalaka thI
hA~, eka t kama se kama yaha eveMjarsa eka sAtha lAyA aMta meM, unake lie hara samaya eka dUsare se lar3ane kI koI AvazyakatA nahIM hai|	hA~ , at least sabhI avengers ko sAtha le Aye , pure time Apasa meM lar3ane kI koI jarUrata nahIM thI
isakI koI AvazyakatA nahIM hai	koI z2arUrata nahIM
bilkula. lokI para harA, jaise halka ne kiyA. Apako kyA lagatA hai ki sabase adhika baTa ko kisane lAta mArI?	absolutely loki ko mAro jaise halaka ne mArA thA usakI butt para lAta kisane mArI
mujhe aisA lagatA hai	mujhe lagatA hai aisA
mujhe pasaMda thA ki halka ne Ayarana maina ko bacAyA jaba vaha gira rahA thA, itanA mahAna kSaNa|	mujhe acchA lagA ki halka ne Iron mAna ko bacAyA girane se kitanA acchA samaya thA vo
maiM bhI halka pasaMda hai	mujhe bhI Hulk pasaMda hai
hA~ vaha sabase acchA hai. yaha mahAna hai ki pUrI TIma ko aMta meM dina ko bacAne ke lie eka sAtha kAma karanA par3A, kyA Apako nahIM lagatA?	tumheM nahIM lagatA vaha sabase acchA hai , boTa bar3I bAta hai ki pUrI team sAtha meM kAma karatI hai dina ko Akhira meM bacAne ke lie ?
mujhe patA thA aura maiMne socA	mujhe patA hai maiM soca rahA thA
nyUyaॉrka kI ora jA rahI usa paramANu misAila ke sAtha nizcita rUpa se kucha ucca dAMva the|	kucha to boTa bar3A stake hai use nuclear missile meM jo new york kI tarapha jA rahI thI
hAya vahA~. Apa philma ke bAre meM kyA socate haiM?	namaste . apane film ke bAre meM kyA socA ?
hailo?	namaste ?
hAya, mujhe lagatA hai ki yaha mahAna hai, yaha eka bI roDave myUjikala ke rUpa meM acchA hogA	namaste , mujhe lagatA hai ki yaha bahuta acchA hai , yaha bhI roDave sangeet ke rUpa meM acchA hogA
Apako kyoM lagatA hai ki yaha eka braॉDave saMgIta ke rUpa meM mahAna hogA?	Apako kyA lagatA hai ki braॉDaAve sangeet ke rUpa meM yaha bahuta acchA hogA ?
mukhya rUpa se gAyana lekina yaha bhI kyoMki kahAnI eka yAtrA ke bAre meM hai|	mukhya rUpa se gAyana lekina jaba se kahAnI eka yAtrA ke bAre meM hai .
Apa kyA socate haiM?	tuma kyA socate ho ?
philma meM saMgIta bahuta AkarSaka aura sukhada hai, isalie maiM sahamata hUM|	films meM saMgIta bahuta hI AkarSaka aura AnaMdadAyaka hai , isalie maiM sahamata hU~ .
Apako kisakI yAtrA sabase adhika sammohaka lagI?	Apane kisakI yAtrA ko sabase adhika sammohaka pAyA ?
annA kI yAtrA	annA kI yAtrA
kyA Apako lagatA hai ki niSkarSa usake caritra ke lie saMtoSajanaka thA?	kyA Apako lagatA hai ki niSkarSa usake caritra ke lie saMtoSajanaka thA ?
vaha khuda hone kI koziza kara rahI thI aura sAtha hI apanI bahana kI rakSA kara rahI thI isalie mujhe lagatA hai ki yaha saMtoSajanaka thA kyoMki yaha pUrA ho gayA thA|	vaha khuda hone kI koziza kara rahe the aura sAtha hI sAtha apanI bahana kI rakSA kara rahe the , isalie mujhe lagatA hai ki yaha pUrA hone ke bAda se saMtuSTa the .
maiM sahamata hU~	maiM sahamata hU~
kyA Apane usa parI kathA ke bAre meM sunA hai jisa para philma AdhArita thI?	kyA Apane parI kathA ke bAre meM sunA hai jo film para AdhArita thI ?
nahIM, kabhI nahIM|	nahIM kabhI nahIM .
Apa kisa caritra kI sabase adhika prazaMsA karate haiM?	Apa kisa caritra kI sabase adhika prazaMsA karate haiM ?
hailo?	namaskAra
hailo! hailo!	Hello !
Apa jaॉna lI hainakaॉka ke bAre meM kyA socate haiM?	tuma John Lee Hancock ke bAre meM kyA socate ho ?
hailo.	Hello
are! kyA tumane kabhI da sozala neTavarka dekhA hai?	he ! kyA The social network dekhA ?
maiMne nahIM kiyA hai, lekina mujhe patA hai ki yaha 2010 meM philmAyA gayA thA|	nahIM yAra . lekina mujhe patA haiM ki vaha 2010 mien filmed havA
kyA tumane ise dekhA hai?	Apa dekha ?
maiMne vyaktigata rUpa se isakA AnaMda liyA| yaha phesabuka kI sthApanA kI kahAnI batAtA hai| kyA Apako vAstavikatA para AdhArita philmeM pasaMda haiM?	maiM personally enjoy kiyA .. facebook kA story haiM yAra .. reality based movie dekhanA pasaMda haiM ?
mujhe. mujhe jesI Aijanabarga aura jasTina Timbaraleka bhI pasaMda haiM. philma ko acchI samIkSA milI, isalie zAyada maiM ise dekhUMgA.	mujhe bhI .. mujhe jaise eisenberg aura justin timberlake pasaMda haiM . yaha movie ache reviews nikalI , maybe maiM watch jarUra karUMgA
maiM vAstava meM ise khuda kI siphAriza karUMgA| yaha behada acchA thA| jesI Aijanabarga z2akarabarga ko itane tIvra tarIke se nibhAtA hai| yaha eka mahAna philma hai|	to maiM jarUra recommend karU~gA .. ye ache haiM .. kyA jaise eisenberg yAnI zuckerburg kA role play intense se kiyA .. vo to bar3hiyA film haiM
kyA Apane vaha pustaka par3hI thI jisa para philma AdhArita thI? Akasmika arabapati?	kyA Apa usa book ko read kiyA jo ye movie ? the accidental billionaires ?
mujhe Aja hI patA calA ki yaha pustaka para AdhArita hai| mujhe nizcita rUpa se ise par3hanA hogA|	maiM kucha learn kiye haiM usa book se Aja .. maiM definitely paDhUMgA
jAhira hai, philma kA jIvanI bhAga vAstava meM jIvana ke lie saca nahIM hai, kyoMki philma pustaka para AdhArita thI| mArka jukarabarga ne philma meM yogadAna dene meM koI hissA nahIM liyA thA|	acchA to biographical part tho is movie meM z2arUra saca kahA hogA .. kyoM kI is movie tho book kA base haiM .. mark zuckerberg to koI contribute nahIM diyA hogA
yaha nizcita rUpa se jAnanA dilacaspa hai| maiMne hamezA isake bAre meM socA thA| jAhira hai, saverina ekamAtra salAhakAra thA jisake pAsa kisI bhI vAstavika jIvana kI jAnakArI thI|	yaha jAnanA jarUra interesting hai . meM hamezA isa bAre meM socatA thA . Apparently , Saverin akele consultant thA jisake pAsa koI true to life information thI .
kyA ArmI haimara ko do logoM kI bhUmikA nibhAte hue dekhanA ajIba thA?	kyA Armie Hammer ko do loga play karate hue dekhanA weird thA ?
yaha thA! Apake sAtha ImAnadAra hone ke lie unhoMne itanA acchA kAma kiyA ki mujhe yaha mahasUsa karane meM kaThinAI huI ki ve donoM ArmI haimara the| vaha eka adbhuta abhinetA hai| mujhe yaha bhI lagatA hai ki phesamaiza eka hAsyAspada sTArTaapa nAma hai|	vaha thA ! To be honest unhoMne itanA acchA kAma kiyA kI mujhe realize nahI huA donoM Armie Hammer the . vaha eka amazing actor haiM . meM yaha bhI socatA hU~ ki pakIsamaza eka hilarious startup name hai
yaha hai! aura kyA eka pAgala kahAnI hai ... mUla rUpa se vaha chor3a diyA gayA aura usake sAtha vApasa pAne kI koziza se bAhara lAkhoM banA diyA.	ye haiM ! kyA crazy story hai .. basically vaha dumped hogayA aura use badale lete hue millions kamA liye
eka vyakti kA kitanA vivAdita hai| usake bAre meM jo Apa jAnate haiM usake AdhAra para kyA Apa usake sAtha dostI kareMge yadi Apa usa samaya usake sAtha skUla meM the?	Kinda contentious baMda hai . jitanA tuma abhI jAnate ho , agara usake sAtha school meM hote to kyA usake sAtha friendly hote ?
hamma ... zAyada nahIM. vaha dostoM ko rakhane meM acchA bhAgya nahIM lagatA hai. kitanA viDaMbanA hai ke rUpa meM vaha phesabuka kA AviSkAra kiyA. kyA Apako lagatA hai ki Apa dosta rahe hoMge?	Hmm .. zAyada nahIM . dosta rakhane meM to usakA koI acchA luck nahIM hai . kitane ironic hai ki usane Facebook invent kiya . tuma kyA socate ho , kyA usake dosta hote ?
bilkula nahIM 1	bilkula nahIM .
maiMne bhI socA ki yaha viDaMbanApUrNa hai| mujhe vizvAsa nahIM ho rahA thA|	maiMne bhI socA thA ki yaha ironic hai . mujhe to believe nahIM huA
vaha dRzya jahAM krisTI lI kahatI hai ki phesabuka mujhe bhI thor3A hAsyAspada hai| yaha nizcita rUpa se phesamaiza mujhe harA detA hai|	vaha scene jahAM Christy lie bolatI hai Facebook meM funny type kA hai . Certainly facesmash meM bolane se to acchA hai .
sahamata hU~| yaha samajha meM AtA hai, lekina mujhe patA nahIM thA ki z2akarabarga ko rAste meM kitanI madada milI thI... vizeSa rUpa se nepasTara ke saMsthApakoM meM se eka se!	Agreed . isakA sense to banatA hai but mujhe koI idea nahIM thA ki Zuckerberg ko rAste meM kitanI help milI hai , especially Napster ke eka founder sI .
jasTina Timbaraleka bhI use bahuta acchI taraha se khelatA hai. mujhe isake bAre meM kabhI nahIM patA thA, lekina dhyAna rakheM ki yaha pustaka para AdhArita hai. kauna jAnatA hai ki vaha vAstava meM kitanA zAmila thA.	Justin Timberlake ne use bahuta acchA play kiyA hai . mujhe bhI isa bAre meM kucha nahIM patA thA , lekina yaha dhyAna meM rakho ki yaha book pe base haiM . kaise pAtA vaha actually kitanA involved thA .
yaha saca hai| mujhe Azcarya hai ki kyA mArka jukarabarga ne vAstava meM zaॉna pArkara ko phesabuka mukhyAlaya meM rahane ke lie AmaMtrita kiyA thA!	yaha to sahI hai . meM isa soca meM hU~ ki kyA Mark Zuckerberg ne Sean Parker ko actually Facebook ke headquarters meM rahane ke lie bulAyA thA !
mujhe pasaMda hai ki vaha ise eka ghara se kaise kara rahA thA| Apa jAnate haiM ki bahuta kucha huA thA| yadi zaॉna pArkara vahAM thA, kauna jAnatA hai| mujhe pasaMda hai ki kaise Teka kaMpanI sTArTa-apa gharoM se bAhara haiM| mujhe Azcarya hai ki ve pahale kisa dUsare mahAdvIpa meM vistAra karane kI koziza kara rahe the|	unakA yaha saba ghara se karanA mujhe pasaMda AyA . tumheM patA hai kitanA kucha huA . agara Sean Parker vahAM rahatA to , kaise patA . I love kaise yaha tech company start up ghara se cala rahI hai . I wonder vaha kaunasI dUsare continent meM pahalI expand karanA cAhate the
mujhe lagatA hai ki yaha kAphI maz2edAra hai ki vaha saphalatA prApta kI ... aura "Thefacebook"? pahale Facesmash, phira hArvarDa kanekzana phira Thefacebook... yikes!	I think usakI success ko consider karate hue thephekabuka kAphI funny hai . pahale pakIsamaza , phira Harvard Connection phira thephekabuka yikes !
phesabuka basa sar3A huA hai. aisA lagatA hai ki jukarabarga ne vAstava meM sthiti meM hara kisI ko dhokhA diyA hai.	thephekabuka to bilakula bekAra hai . aisA lagatA hai Zuckerberg ne sahI meM dUsare logoM kI lilI
yaha eka taraha se DarAvanA hai kaise vaha sirpha alabrAiTa mitra anurodha svIkAra karane ke lie iMtajAra kiyA, bhI.	usakA Albright kA friend request accept karane taka wait karanA kAphI creepy thA
yaha vAstava meM mere lie dukha kI bAta hai| vaha vAstava meM kahAnI kI zuruAta se nahIM badalA hai|	mujhe to yaha sad lagA . vaha story kI beginning se jyAdA badalA nahIM .
maiM aisA hI mahasUsa karatA hU~. mujhe Azcarya nahIM hai ki vaha eka samajhautA karanA par3A.	mujhe to aisA lagatA hai . meM surprise nahIM ho ke use settlement karanA par3A
unhoMne duniyA ke aba taka ke sabase bar3e sozala neTavarka kI sthApanA kI, lekina vaha eka aise vyakti kI taraha dikhate haiM jisase loga napharata karate haiM|	usane duniyA kA sabase bar3A social network banAyA but vaha eka aisA AdamI lagatA hai jaise loga haTe karate haiM
behada misanthropic. maiM sahamata hU~. yaha kula milAkara eka taraha se dukhada hai.	bilkula misanthropic . meM to agree karatA hU~ . Overall yaha sad hai .
kama se kama vaha saccI burAI ke lie apanI buddhi kA upayoga nahIM kiyA.	usane burAI karane ke lie dImaka kA upayoga nahIM kiyA
kyA tuma abhI bhI vahA~ ho?	tuma abhI bhI vahA~ ho
yaha 10 minaTa ho gayA hai	10 MINUTES ho gayA
philma Taॉya sTorI hai|	movie hai Toy Story
1995 se, nirdezaka jaॉna lAselara haiM, 100% sar3e hue TamATara, 9/10 skora|	1995 se , director haiM John Lasseler , rotten tomatoes meM 100 % , 9/10 score hai
hailo, kyA Apane Taॉya sTorI dekhI hai? maiMne kiyA| maiM usa Alocaka se sahamata hUM jisameM kalpanA kI zuddhatA aura utsAhI svataMtratA hai| Apa kyA socate haiM?	hailo , kyA tumane Toy Story dekhA hai ? maiM mAnatA hU~ critic se koI usameM purity aura ecstatic freedom of imagination haiM.kyA socate ho tuma ?
maiM sahamata hU~, yaha eka bahuta hI lokapriya philma thI|	hA~ agreed , vaha bahuta popular movie thA .
